loss,acc,epoch,step,val_loss,val_acc
1.0814052820205688,0.8203125,0,49,,
0.7608600854873657,0.8515625,0,99,,
0.6157898902893066,0.859375,0,149,,
0.6968468427658081,0.8125,0,199,,
0.5056621432304382,0.875,0,249,,
0.47276291251182556,0.90625,0,299,,
0.3538786470890045,0.9296875,0,349,,
0.3862398564815521,0.8984375,0,399,,
0.3510814607143402,0.9140625,0,449,,
,,0,468,0.3794352114200592,0.9021999835968018
0.30918586254119873,0.9296875,1,499,,
0.4519443213939667,0.8515625,1,549,,
0.35436922311782837,0.90625,1,599,,
0.4502418339252472,0.859375,1,649,,
0.3775922954082489,0.90625,1,699,,
0.510211706161499,0.8515625,1,749,,
0.3765941858291626,0.8984375,1,799,,
0.2979058027267456,0.9140625,1,849,,
0.26905250549316406,0.953125,1,899,,
,,1,937,0.31849271059036255,0.9139999747276306
0.3661700189113617,0.90625,2,949,,
0.2882883548736572,0.9296875,2,999,,
0.33180370926856995,0.8828125,2,1049,,
0.2909020483493805,0.9296875,2,1099,,
0.2839325964450836,0.9296875,2,1149,,
0.3467752933502197,0.9140625,2,1199,,
0.26637890934944153,0.9296875,2,1249,,
0.22451777756214142,0.921875,2,1299,,
0.24344941973686218,0.9140625,2,1349,,
0.32821911573410034,0.8984375,2,1399,,
,,2,1406,0.29769739508628845,0.9168000221252441
