loss,error,epoch,step,val_loss,val_error
0.04986041784286499,2.3283064365386963e-10,0,49,,
0.020648157224059105,8.847564347824743e-10,0,99,,
0.014065572991967201,3.7252903539730653e-10,0,149,,
0.020122844725847244,9.313225884932663e-11,0,199,,
0.012649900279939175,3.7252903539730653e-10,0,249,,
0.021460281684994698,7.683411129555395e-10,0,299,,
0.01876399666070938,1.1641532182693481e-10,0,349,,
0.012486112304031849,3.7252903539730653e-10,0,399,,
0.01186701375991106,6.984919309616089e-10,0,449,,
,,0,468,0.011941916309297085,4.2498118912881466e-10
0.012963718734681606,1.8626451769865326e-10,1,499,,
0.009760408662259579,1.816079064909104e-09,1,549,,
0.014843150973320007,2.793967834868738e-10,1,599,,
0.009882645681500435,9.313225884932663e-11,1,649,,
0.01111702062189579,1.1175871339474952e-09,1,699,,
0.013990148901939392,9.313225884932663e-11,1,749,,
0.01122573483735323,1.8626451769865326e-10,1,799,,
0.014215868897736073,2.3283064712331658e-11,1,849,,
0.013231644406914711,2.3283064365386963e-10,1,899,,
,,1,937,0.010529524646699429,5.265186620029283e-10
0.010172892361879349,1.8626451769865326e-10,2,949,,
0.010027946904301643,2.444721924899085e-10,2,999,,
0.008454270660877228,1.8626451769865326e-10,2,1049,,
0.009845726191997528,1.396983917434369e-10,2,1099,,
0.00761671457439661,4.4237821739123717e-10,2,1149,,
0.009752345271408558,3.7252903539730653e-10,2,1199,,
0.012203061953186989,1.396983917434369e-10,2,1249,,
0.008073589764535427,1.979060526569043e-10,2,1299,,
0.004563876893371344,1.1641532182693481e-10,2,1349,,
0.008949417620897293,6.053597068067518e-10,2,1399,,
,,2,1406,0.008557233959436417,4.5972706197439095e-10
