acc,epoch,loss,step
0.75,0,1.7183058261871338,49
0.83203125,0,1.6295151710510254,99
0.78125,0,1.6757004261016846,149
0.84375,0,1.6201188564300537,199
0.87890625,,1.584843397140503,0
0.828125,,1.6374365091323853,1
0.85546875,,1.6050258874893188,2
0.83203125,,1.6387349367141724,3
0.875,,1.5880916118621826,4
0.84765625,,1.6160120964050293,5
0.80078125,,1.6632795333862305,6
0.82421875,,1.6350975036621094,7
0.7890625,,1.67609703540802,8
0.84765625,,1.6117279529571533,9
0.84375,,1.6233171224594116,10
0.8359375,,1.6294734477996826,11
0.80859375,,1.6461094617843628,12
0.8515625,,1.6186999082565308,13
0.85546875,,1.610326886177063,14
0.80078125,,1.6614350080490112,15
0.83984375,,1.6225351095199585,16
0.85546875,,1.6055657863616943,17
0.8515625,,1.6123734712600708,18
0.875,,1.5900202989578247,19
0.8125,1,1.6443530321121216,249
0.8203125,1,1.6394695043563843,299
0.89453125,1,1.5710160732269287,349
0.94140625,1,1.5231072902679443,399
0.91796875,,1.550883173942566,20
0.921875,,1.5381985902786255,21
0.93359375,,1.5277881622314453,22
0.890625,,1.5743173360824585,23
0.94140625,,1.5227891206741333,24
0.9140625,,1.5459883213043213,25
0.90234375,,1.5580449104309082,26
0.8984375,,1.5613901615142822,27
0.875,,1.5911085605621338,28
0.9140625,,1.5502771139144897,29
0.9140625,,1.5432024002075195,30
0.90625,,1.5511424541473389,31
0.9140625,,1.55107581615448,32
0.90625,,1.5549817085266113,33
0.89453125,,1.569564700126648,34
0.90234375,,1.562350869178772,35
0.92578125,,1.5325673818588257,36
0.92578125,,1.5311143398284912,37
0.92578125,,1.5337458848953247,38
0.8823529481887817,,1.5802044868469238,39
0.9296875,2,1.5250787734985352,449
0.92578125,2,1.5336312055587769,499
0.91015625,2,1.5508655309677124,549
0.94140625,2,1.5281871557235718,599
0.94921875,,1.5138707160949707,40
0.94140625,,1.5225261449813843,41
0.953125,,1.5081841945648193,42
0.9296875,,1.531752586364746,43
0.95703125,,1.5066603422164917,44
0.9375,,1.5243737697601318,45
0.94140625,,1.5204778909683228,46
0.94140625,,1.5260415077209473,47
0.890625,,1.5705147981643677,48
0.94140625,,1.522444248199463,49
0.94921875,,1.511481761932373,50
0.91796875,,1.5388007164001465,51
0.9296875,,1.531713843345642,52
0.9296875,,1.5297634601593018,53
0.9140625,,1.5472747087478638,54
0.91796875,,1.5416274070739746,55
0.9609375,,1.5057536363601685,56
0.96875,,1.493390679359436,57
0.953125,,1.5016844272613525,58
0.9264705777168274,,1.5325909852981567,59
0.93359375,3,1.5276013612747192,649
0.9609375,3,1.5032390356063843,699
0.9375,3,1.5292130708694458,749
0.9609375,3,1.5030103921890259,799
0.92578125,3,1.5364198684692383,849
0.9453125,,1.5144729614257812,60
0.9375,,1.5232385396957397,61
0.94921875,,1.5120669603347778,62
0.94140625,,1.5190954208374023,63
0.953125,,1.5086387395858765,64
0.94140625,,1.5203869342803955,65
0.9375,,1.517487645149231,66
0.95703125,,1.50254487991333,67
0.87890625,,1.5732008218765259,68
0.9375,,1.5213176012039185,69
0.94921875,,1.511605143547058,70
0.9375,,1.5224692821502686,71
0.9140625,,1.543673038482666,72
0.94921875,,1.5140149593353271,73
0.921875,,1.5389097929000854,74
0.9375,,1.5247091054916382,75
0.97265625,,1.4884240627288818,76
0.96875,,1.4957948923110962,77
0.95703125,,1.500664234161377,78
0.9338235259056091,,1.5282248258590698,79
0.9453125,4,1.516150712966919,899
0.94921875,4,1.5116130113601685,949
0.95703125,4,1.5054545402526855,999
0.9296875,4,1.5344287157058716,1049
0.94140625,,1.5194488763809204,80
0.95703125,,1.501230001449585,81
0.94140625,,1.5212851762771606,82
0.9375,,1.5209275484085083,83
0.96484375,,1.4978666305541992,84
0.95703125,,1.5061310529708862,85
0.953125,,1.5110279321670532,86
0.94140625,,1.518024206161499,87
0.90234375,,1.5564711093902588,88
0.9453125,,1.5152145624160767,89
0.953125,,1.5148781538009644,90
0.9296875,,1.5258256196975708,91
0.9375,,1.5249792337417603,92
0.96875,,1.4967315196990967,93
0.9140625,,1.5489623546600342,94
0.92578125,,1.5370099544525146,95
0.9609375,,1.503287672996521,96
0.953125,,1.5081018209457397,97
0.94140625,,1.521439790725708,98
0.9338235259056091,,1.5263450145721436,99
0.96484375,5,1.496346116065979,1099
0.96484375,5,1.4950106143951416,1149
0.953125,5,1.5091992616653442,1199
0.94921875,5,1.5116689205169678,1249
0.9453125,,1.5161293745040894,100
0.9453125,,1.518105149269104,101
0.953125,,1.5050220489501953,102
0.953125,,1.509701132774353,103
0.97265625,,1.4904206991195679,104
0.9453125,,1.516353964805603,105
0.9375,,1.518778920173645,106
0.94921875,,1.5109028816223145,107
0.90625,,1.5569216012954712,108
0.94140625,,1.5171045064926147,109
0.93359375,,1.524166226387024,110
0.95703125,,1.5054866075515747,111
0.9375,,1.529006838798523,112
0.96484375,,1.4972729682922363,113
0.94140625,,1.5212246179580688,114
0.94140625,,1.5203102827072144,115
0.97265625,,1.489409327507019,116
0.96484375,,1.4953886270523071,117
0.953125,,1.5072855949401855,118
0.9264705777168274,,1.5361074209213257,119
0.9609375,6,1.498840093612671,1299
0.94921875,6,1.5083765983581543,1349
