epoch,error,loss,step,val_error,val_loss
0,4.656612873077393e-10,0.052279550582170486,49,,
0,1.8626451769865326e-10,0.020543178543448448,99,,
0,3.7252903539730653e-10,0.017961101606488228,149,,
0,7.450580707946131e-10,0.012716020457446575,199,,
0,7.683411129555395e-10,0.015974748879671097,249,,
0,6.519257911286047e-10,0.00906428974121809,299,,
0,1.2805685678518586e-10,0.012318447232246399,349,,
0,1.1641532182693481e-10,0.014499831013381481,399,,
0,4.190951752303107e-10,0.011021955870091915,449,,
0,,,468,4.714471035782708e-10,0.011748402379453182
1,1.2805685678518586e-10,0.009373295120894909,499,,
1,2.793967834868738e-10,0.01269964873790741,549,,
1,9.77888769959634e-10,0.012291619554162025,599,,
1,9.313225746154785e-10,0.013239125721156597,649,,
1,8.847564347824743e-10,0.009689579717814922,699,,
1,2.0954758761515535e-10,0.009652877226471901,749,,
1,6.519257911286047e-10,0.010780085809528828,799,,
1,4.656612873077393e-10,0.016909530386328697,849,,
1,5.820766091346741e-10,0.009602267295122147,899,,
1,,,937,5.104427991398097e-10,0.008709004148840904
2,9.313225746154785e-10,0.012314182706177235,949,,
2,6.286427489676782e-10,0.006168201565742493,999,,
2,9.08039532454552e-10,0.006278519984334707,1049,,
2,9.313225884932663e-11,0.011104746721684933,1099,,
2,5.587935669737476e-10,0.007620729506015778,1149,,
2,5.355104693016699e-10,0.009861737489700317,1199,,
2,1.8626451769865326e-10,0.010967728681862354,1249,,
2,6.752088888006824e-10,0.009276846423745155,1299,,
2,1.8626451769865326e-10,0.006650592666119337,1349,,
2,1.8335413742853746e-10,0.005417278036475182,1399,,
2,,,1406,3.9044875665972256e-10,0.0075791869312524796
