epoch,step,val_acc,val_loss
0,214,0.9043999910354614,0.32673218846321106
1,429,0.9097999930381775,0.3157854378223419
2,644,0.9103999733924866,0.3117094039916992
3,859,0.9120000004768372,0.3101971745491028
4,1074,0.9120000004768372,0.3098617196083069
5,1289,0.9121999740600586,0.31005099415779114
6,1504,0.9124000072479248,0.31097903847694397
7,1719,0.9107999801635742,0.31329959630966187
8,1934,0.9093999862670898,0.3160334527492523
9,2149,0.9093999862670898,0.31807488203048706
10,2364,0.9089999794960022,0.3201696276664734
11,2579,0.9089999794960022,0.3218840956687927
12,2794,0.9097999930381775,0.32352784276008606
13,3009,0.9101999998092651,0.32553228735923767
14,3224,0.9103999733924866,0.3270416259765625
15,3439,0.9106000065803528,0.3280830383300781
16,3654,0.9110000133514404,0.3295153081417084
17,3869,0.9100000262260437,0.3304496705532074
18,4084,0.9100000262260437,0.330923855304718
19,4299,0.9093999862670898,0.3307943344116211
20,4514,0.9097999930381775,0.3319602906703949
21,4729,0.9106000065803528,0.3349922299385071
22,4944,0.9093999862670898,0.33751723170280457
23,5159,0.909600019454956,0.3393031656742096
24,5374,0.9097999930381775,0.34013500809669495
25,5589,0.909600019454956,0.34092649817466736
26,5804,0.9097999930381775,0.3419068455696106
27,6019,0.9082000255584717,0.34269705414772034
28,6234,0.9092000126838684,0.3432675004005432
29,6449,0.9092000126838684,0.3443918824195862
