loss,acc,mse,epoch,step
0.9476394653320312,0.7734375,3.1953125,0,49
0.42234131693840027,0.9140625,0.7421875,0,99
0.34893086552619934,0.90625,1.328125,0,149
0.35602569580078125,0.8671875,2.046875,0,199
0.2854131758213043,0.921875,0.7734375,0,249
0.3782314360141754,0.890625,2.140625,0,299
0.28749364614486694,0.921875,1.515625,0,349
0.3667106330394745,0.8984375,2.71875,0,399
0.2995930314064026,0.890625,1.703125,0,449
0.20984800159931183,0.9375,0.703125,1,499
0.22941046953201294,0.9453125,0.53125,1,549
0.24650639295578003,0.9296875,0.7734375,1,599
0.24788370728492737,0.9296875,2.15625,1,649
0.1481286883354187,0.9609375,0.3828125,1,699
0.18528321385383606,0.953125,0.7421875,1,749
0.2403598427772522,0.921875,1.1640625,1,799
0.19200868904590607,0.953125,1.0,1,849
0.12207116186618805,0.9765625,0.484375,1,899
0.19285571575164795,0.921875,1.0,2,949
0.2780493497848511,0.8984375,2.65625,2,999
0.188322976231575,0.9609375,0.9296875,2,1049
0.12839530408382416,0.9609375,0.6484375,2,1099
0.17341603338718414,0.9375,0.859375,2,1149
0.150132954120636,0.96875,0.5078125,2,1199
0.2017894834280014,0.921875,1.671875,2,1249
0.1623278260231018,0.9453125,0.84375,2,1299
0.09660106897354126,0.9609375,0.7109375,2,1349
0.11206915974617004,0.9609375,0.4140625,2,1399
