loss,error,epoch,step,val_loss,val_error
0.036974262446165085,3.7252903539730653e-10,0,49,,
0.021628722548484802,5.587935669737476e-10,0,99,,
0.02647833339869976,3.2596289556430236e-10,0,149,,
0.01785293035209179,4.656612873077393e-10,0,199,,
0.014256611466407776,1.0710209386033398e-09,0,249,,
0.01406592782586813,3.958121053138086e-10,0,299,,
0.013666016049683094,6.984919587171845e-11,0,349,,
0.011581054888665676,0.0,0,399,,
0.012089468538761139,0.0,0,449,,
,,0,468,0.011837836354970932,3.768479694965521e-10
0.015025167725980282,8.847564347824743e-10,1,499,,
0.013158378191292286,5.122274271407434e-10,1,549,,
0.007145829498767853,2.561137135703717e-10,1,599,,
0.010868118144571781,6.984919309616089e-10,1,649,,
0.015152308158576488,6.984919309616089e-10,1,699,,
0.008983311243355274,9.313225884932663e-11,1,749,,
0.007099468261003494,2.0954758761515535e-10,1,799,,
0.01148199662566185,5.122274271407434e-10,1,849,,
0.006236647721379995,3.2596289556430236e-10,1,899,,
,,1,937,0.00963612087070942,5.578972284148165e-10
0.006664280779659748,1.396983917434369e-10,2,949,,
0.009416465647518635,1.396983917434369e-10,2,999,,
0.00954368431121111,4.685716814556429e-10,2,1049,,
0.011238365434110165,1.8626451769865326e-10,2,1099,,
0.008321552537381649,4.88944384979817e-10,2,1149,,
0.015232130885124207,1.2107194136135035e-09,2,1199,,
0.006790220737457275,3.143213744838391e-10,2,1249,,
0.007301994599401951,2.793967834868738e-10,2,1299,,
0.006999252829700708,2.793967834868738e-10,2,1349,,
0.006518693175166845,1.0011718121205604e-09,2,1399,,
,,2,1406,0.008142723701894283,5.196593710898867e-10
