loss_step,acc_step,epoch,step,loss_epoch,acc_epoch
2.071660041809082,0.5390625,0,9,,
1.7030397653579712,0.6484375,0,19,,
1.4182053804397583,0.7421875,0,29,,
1.1142323017120361,0.7734375,0,39,,
1.0349143743515015,0.734375,0,49,,
0.8076320886611938,0.8203125,0,59,,
0.6595003604888916,0.859375,0,69,,
0.6102991700172424,0.875,0,79,,
0.49828624725341797,0.890625,0,89,,
0.4845544993877411,0.875,0,99,,
0.49122750759124756,0.875,0,109,,
0.45934078097343445,0.859375,0,119,,
0.4430255591869354,0.8828125,0,129,,
0.39395424723625183,0.8671875,0,139,,
0.3442828357219696,0.9140625,0,149,,
0.41616278886795044,0.8984375,0,159,,
0.33405134081840515,0.8984375,0,169,,
0.33989325165748596,0.90625,0,179,,
0.26425662636756897,0.9375,0,189,,
0.33719223737716675,0.875,0,199,,
0.30075135827064514,0.8984375,0,209,,
0.33124518394470215,0.8828125,0,219,,
0.3256308436393738,0.90625,0,229,,
0.31971415877342224,0.8984375,0,239,,
0.38230645656585693,0.8671875,0,249,,
0.23393937945365906,0.9453125,0,259,,
0.33406975865364075,0.8984375,0,269,,
0.38494405150413513,0.8671875,0,279,,
0.23642322421073914,0.9375,0,289,,
0.27077746391296387,0.9296875,0,299,,
0.4169504940509796,0.8515625,0,309,,
0.3265228867530823,0.890625,0,319,,
0.21324056386947632,0.9609375,0,329,,
0.4181470274925232,0.8828125,0,339,,
0.46253544092178345,0.90625,0,349,,
0.41657891869544983,0.8671875,0,359,,
0.24886450171470642,0.9375,0,369,,
0.20010055601596832,0.9609375,0,379,,
0.30482277274131775,0.9375,0,389,,
0.16870804131031036,0.9609375,0,399,,
0.2499304860830307,0.9140625,0,409,,
0.3110608160495758,0.9140625,0,419,,
0.19697782397270203,0.9375,0,429,,
0.32140862941741943,0.8984375,0,439,,
0.20505477488040924,0.9453125,0,449,,
0.26418188214302063,0.9375,0,459,,
,,0,468,0.49500125646591187,0.8728500008583069
0.2727200984954834,0.8984375,1,469,,
0.2028030902147293,0.9453125,1,479,,
0.2327067106962204,0.9453125,1,489,,
0.1793188452720642,0.953125,1,499,,
0.1833023726940155,0.9609375,1,509,,
0.31872937083244324,0.9296875,1,519,,
0.24166825413703918,0.9375,1,529,,
0.23570047318935394,0.9453125,1,539,,
0.2142641693353653,0.921875,1,549,,
0.1870138943195343,0.9375,1,559,,
0.3179948925971985,0.9140625,1,569,,
0.22265464067459106,0.9375,1,579,,
0.2527722716331482,0.9453125,1,589,,
