acc,epoch,loss,step,val_acc,val_loss
0.7734375,0,1.6992038488388062,49,,
0.80078125,0,1.656240463256836,99,,
0.84375,0,1.6180795431137085,149,,
0.85546875,0,1.6153156757354736,199,,
,,,0,0.84375,1.6140029430389404
,,,1,0.83984375,1.6230906248092651
,,,2,0.84765625,1.6167904138565063
,,,3,0.7890625,1.6652414798736572
,,,4,0.83984375,1.6174875497817993
,,,5,0.80078125,1.6572694778442383
,,,6,0.828125,1.6294397115707397
,,,7,0.8671875,1.599748969078064
,,,8,0.8515625,1.616495132446289
,,,9,0.859375,1.6114275455474854
,,,10,0.8046875,1.6504275798797607
,,,11,0.80859375,1.6558680534362793
,,,12,0.87109375,1.5961275100708008
,,,13,0.765625,1.68982994556427
,,,14,0.8515625,1.612568974494934
,,,15,0.828125,1.6336781978607178
,,,16,0.80859375,1.6519458293914795
,,,17,0.83984375,1.6236660480499268
,,,18,0.8125,1.6409661769866943
,,,19,0.779411792755127,1.6843384504318237
0.859375,1,1.60531485080719,249,,
0.92578125,1,1.5332794189453125,299,,
0.93359375,1,1.5255370140075684,349,,
0.9140625,1,1.5455505847930908,399,,
,,,20,0.9453125,1.52252197265625
,,,21,0.91796875,1.5455907583236694
,,,22,0.9296875,1.5314024686813354
,,,23,0.94140625,1.523747205734253
,,,24,0.92578125,1.5355291366577148
,,,25,0.90625,1.547949194908142
,,,26,0.9296875,1.530998706817627
,,,27,0.953125,1.5106093883514404
,,,28,0.95703125,1.5076841115951538
,,,29,0.9453125,1.5168033838272095
,,,30,0.9296875,1.5308055877685547
,,,31,0.92578125,1.5324645042419434
,,,32,0.92578125,1.531384825706482
,,,33,0.9140625,1.544782280921936
,,,34,0.94140625,1.5192171335220337
,,,35,0.9453125,1.5179874897003174
,,,36,0.91796875,1.542268991470337
,,,37,0.9296875,1.5291062593460083
,,,38,0.91015625,1.5497831106185913
,,,39,0.9485294222831726,1.5178769826889038
0.95703125,2,1.5049306154251099,449,,
0.94921875,2,1.5164281129837036,499,,
0.96875,2,1.5019636154174805,549,,
0.92578125,2,1.5400018692016602,599,,
,,,40,0.92578125,1.5338914394378662
,,,41,0.9296875,1.5310587882995605
,,,42,0.94921875,1.515032172203064
,,,43,0.9140625,1.5467324256896973
,,,44,0.9296875,1.5329618453979492
,,,45,0.9296875,1.5330653190612793
,,,46,0.94140625,1.5156084299087524
,,,47,0.94921875,1.513338565826416
,,,48,0.953125,1.5061711072921753
,,,49,0.94140625,1.5193685293197632
,,,50,0.95703125,1.5047670602798462
,,,51,0.953125,1.5088590383529663
,,,52,0.94921875,1.511512279510498
,,,53,0.94140625,1.5231332778930664
,,,54,0.94140625,1.5142662525177002
,,,55,0.953125,1.5133519172668457
,,,56,0.9375,1.5237685441970825
,,,57,0.94140625,1.5177490711212158
,,,58,0.9453125,1.5159860849380493
,,,59,0.9411764740943909,1.5223931074142456
0.94921875,3,1.5123401880264282,649,,
