acc_epoch,acc_step,epoch,loss_epoch,loss_step,step
,0.9296875,2,,1.0,1089
,0.9375,2,,1.0,1099
,0.96875,2,,1.0,1109
,0.9375,2,,1.0,1119
,0.9296875,2,,1.0,1129
,0.953125,2,,1.0,1139
,0.9375,2,,1.0,1149
,0.9765625,2,,1.0,1159
,0.9453125,2,,1.0,1169
,0.9765625,2,,1.0,1179
,0.96875,2,,1.0,1189
,0.96875,2,,1.0,1199
,0.9296875,2,,1.0,1209
,0.9609375,2,,1.0,1219
,0.953125,2,,1.0,1229
,0.921875,2,,1.0,1239
,0.9765625,2,,1.0,1249
,0.9609375,2,,1.0,1259
,0.921875,2,,1.0,1269
,0.90625,2,,1.0,1279
,0.9609375,2,,1.0,1289
,0.9453125,2,,1.0,1299
,0.921875,2,,1.0,1309
,0.96875,2,,1.0,1319
,0.8984375,2,,1.0,1329
,0.9609375,2,,1.0,1339
,0.9140625,2,,1.0,1349
,0.9453125,2,,1.0,1359
,0.9453125,2,,1.0,1369
,0.9453125,2,,1.0,1379
,0.9609375,2,,1.0,1389
,0.953125,2,,1.0,1399
0.947783350944519,,2,1.0,,1406
,0.9453125,3,,1.0,1409
,0.9453125,3,,1.0,1419
,0.9453125,3,,1.0,1429
,0.9296875,3,,1.0,1439
,0.984375,3,,1.0,1449
,0.984375,3,,1.0,1459
,0.953125,3,,1.0,1469
,0.9453125,3,,1.0,1479
,0.9609375,3,,1.0,1489
,0.9296875,3,,1.0,1499
,0.96875,3,,1.0,1509
,0.9609375,3,,1.0,1519
,0.984375,3,,1.0,1529
,0.984375,3,,1.0,1539
,0.96875,3,,1.0,1549
,0.9609375,3,,1.0,1559
,0.96875,3,,1.0,1569
,0.9765625,3,,1.0,1579
,0.953125,3,,1.0,1589
,0.96875,3,,1.0,1599
,0.9765625,3,,1.0,1609
,0.9609375,3,,1.0,1619
,0.984375,3,,1.0,1629
,0.9375,3,,1.0,1639
,0.8984375,3,,1.0,1649
,0.9609375,3,,1.0,1659
,0.953125,3,,1.0,1669
,0.953125,3,,1.0,1679
,0.9375,3,,1.0,1689
,0.96875,3,,1.0,1699
,0.96875,3,,1.0,1709
,0.9609375,3,,1.0,1719
,0.9375,3,,1.0,1729
,0.96875,3,,1.0,1739
,0.9765625,3,,1.0,1749
,0.9765625,3,,1.0,1759
,0.9765625,3,,1.0,1769
,0.953125,3,,1.0,1779
,0.9609375,3,,1.0,1789
,0.9609375,3,,1.0,1799
,0.9765625,3,,1.0,1809
,0.9765625,3,,1.0,1819
,0.921875,3,,1.0,1829
,0.953125,3,,1.0,1839
,0.9609375,3,,1.0,1849
,0.9296875,3,,1.0,1859
,0.96875,3,,1.0,1869
0.9576500058174133,,3,1.0,,1875
,0.9765625,4,,1.0,1879
,0.9765625,4,,1.0,1889
,0.9375,4,,1.0,1899
,0.984375,4,,1.0,1909
,0.9453125,4,,1.0,1919
,0.953125,4,,1.0,1929
,0.9453125,4,,1.0,1939
,1.0,4,,1.0,1949
,0.96875,4,,1.0,1959
,0.9765625,4,,1.0,1969
,0.984375,4,,1.0,1979
,0.984375,4,,1.0,1989
,0.9140625,4,,1.0,1999
,0.96875,4,,1.0,2009
,0.9296875,4,,1.0,2019
,0.96875,4,,1.0,2029
,0.953125,4,,1.0,2039
,0.96875,4,,1.0,2049
,0.9375,4,,1.0,2059
,0.96875,4,,1.0,2069
,0.9375,4,,1.0,2079
,0.9765625,4,,1.0,2089
,0.9765625,4,,1.0,2099
,0.9765625,4,,1.0,2109
,0.96875,4,,1.0,2119
,0.9765625,4,,1.0,2129
,0.96875,4,,1.0,2139
,0.9765625,4,,1.0,2149
,0.9609375,4,,1.0,2159
,0.9921875,4,,1.0,2169
,0.9296875,4,,1.0,2179
,0.9609375,4,,1.0,2189
,0.984375,4,,1.0,2199
,0.984375,4,,1.0,2209
,0.96875,4,,1.0,2219
,0.953125,4,,1.0,2229
,0.953125,4,,1.0,2239
,0.9609375,4,,1.0,2249
,0.96875,4,,1.0,2259
,0.96875,4,,1.0,2269
,0.9453125,4,,1.0,2279
,0.96875,4,,1.0,2289
,0.96875,4,,1.0,2299
,0.96875,4,,1.0,2309
,0.96875,4,,1.0,2319
,0.96875,4,,1.0,2329
,0.9609375,4,,1.0,2339
0.9642999768257141,,4,1.0,,2344
