acc_epoch,acc_step,epoch,loss_epoch,loss_step,step
,0.5,0,,1.0,9
,0.6875,0,,1.0,19
,0.8125,0,,1.0,29
,0.796875,0,,1.0,39
,0.875,0,,1.0,49
,0.7890625,0,,1.0,59
,0.8125,0,,1.0,69
,0.8671875,0,,1.0,79
,0.828125,0,,1.0,89
,0.921875,0,,1.0,99
,0.8359375,0,,1.0,109
,0.890625,0,,1.0,119
,0.8828125,0,,1.0,129
,0.890625,0,,1.0,139
,0.890625,0,,1.0,149
,0.8828125,0,,1.0,159
,0.90625,0,,1.0,169
,0.8984375,0,,1.0,179
,0.8984375,0,,1.0,189
,0.8515625,0,,1.0,199
,0.9140625,0,,1.0,209
,0.9296875,0,,1.0,219
,0.8671875,0,,1.0,229
,0.8828125,0,,1.0,239
,0.890625,0,,1.0,249
,0.8984375,0,,1.0,259
,0.9296875,0,,1.0,269
,0.8828125,0,,1.0,279
,0.9765625,0,,1.0,289
,0.875,0,,1.0,299
,0.8828125,0,,1.0,309
,0.9296875,0,,1.0,319
,0.9140625,0,,1.0,329
,0.9140625,0,,1.0,339
,0.875,0,,1.0,349
,0.9375,0,,1.0,359
,0.890625,0,,1.0,369
,0.921875,0,,1.0,379
,0.9453125,0,,1.0,389
,0.9296875,0,,1.0,399
,0.921875,0,,1.0,409
,0.9453125,0,,1.0,419
,0.921875,0,,1.0,429
,0.9296875,0,,1.0,439
,0.953125,0,,1.0,449
,0.859375,0,,1.0,459
0.8735666871070862,,0,1.0027865171432495,,468
,0.9453125,1,,1.0,469
,0.9140625,1,,1.0,479
,0.9296875,1,,1.0,489
,0.8828125,1,,1.0,499
,0.890625,1,,1.0,509
,0.9609375,1,,1.0,519
,0.9609375,1,,1.0,529
,0.9296875,1,,1.0,539
,0.8984375,1,,1.0,549
,0.9296875,1,,1.0,559
,0.9453125,1,,1.0,569
,0.9375,1,,1.0,579
,0.921875,1,,1.0,589
,0.921875,1,,1.0,599
,0.9140625,1,,1.0,609
,0.9296875,1,,1.0,619
,0.90625,1,,1.0,629
,0.9296875,1,,1.0,639
,0.9609375,1,,1.0,649
,0.9375,1,,1.0,659
,0.90625,1,,1.0,669
,0.953125,1,,1.0,679
,0.9453125,1,,1.0,689
,0.875,1,,1.0,699
,0.9375,1,,1.0,709
,0.9140625,1,,1.0,719
,0.9609375,1,,1.0,729
,0.984375,1,,1.0,739
,0.953125,1,,1.0,749
,0.921875,1,,1.0,759
,0.9375,1,,1.0,769
,0.9375,1,,1.0,779
,0.953125,1,,1.0,789
,0.9375,1,,1.0,799
,0.9375,1,,1.0,809
,0.9609375,1,,1.0,819
,0.9375,1,,1.0,829
,0.96875,1,,1.0,839
,0.921875,1,,1.0,849
,0.9453125,1,,1.0,859
,0.953125,1,,1.0,869
,0.9296875,1,,1.0,879
,0.8984375,1,,1.0,889
,0.9140625,1,,1.0,899
,0.9453125,1,,1.0,909
,0.953125,1,,1.0,919
,0.9375,1,,1.0,929
0.9327333569526672,,1,1.0,,937
,0.9453125,2,,1.0,939
,0.9609375,2,,1.0,949
,0.953125,2,,1.0,959
,0.9296875,2,,1.0,969
,0.9140625,2,,1.0,979
,0.953125,2,,1.0,989
,0.9609375,2,,1.0,999
,0.9765625,2,,1.0,1009
,0.96875,2,,1.0,1019
,0.9765625,2,,1.0,1029
,0.953125,2,,1.0,1039
,0.9296875,2,,1.0,1049
,0.9453125,2,,1.0,1059
,0.8984375,2,,1.0,1069
,0.9453125,2,,1.0,1079
