acc,epoch,loss,step,val_acc,val_loss
0.8984375,0,0.38468512892723083,49,,
0.92578125,0,0.34014174342155457,99,,
0.89453125,0,0.3805766999721527,149,,
0.9296875,0,0.2748473584651947,199,,
,0,,214,0.9258000254631042,0.2606293559074402
0.9375,1,0.18595069646835327,249,,
0.921875,1,0.28832578659057617,299,,
0.96875,1,0.12436898052692413,349,,
0.94921875,1,0.19847410917282104,399,,
,1,,429,0.9444000124931335,0.19545918703079224
0.9375,2,0.22563879191875458,449,,
0.921875,2,0.26572051644325256,499,,
0.953125,2,0.1602339744567871,549,,
0.953125,2,0.1249316856265068,599,,
,2,,644,0.9534000158309937,0.15917837619781494
0.9609375,3,0.14839576184749603,649,,
0.9609375,3,0.14303013682365417,699,,
0.96875,3,0.12020529061555862,749,,
0.9765625,3,0.11129330098628998,799,,
0.953125,3,0.1307479441165924,849,,
,3,,859,0.9599999785423279,0.13721874356269836
0.96875,4,0.10058759897947311,899,,
0.98046875,4,0.08726075291633606,949,,
0.95703125,4,0.13679561018943787,999,,
0.96875,4,0.12300576269626617,1049,,
,4,,1074,0.9639999866485596,0.12378685176372528
0.9296875,5,0.21994516253471375,1099,,
0.98046875,5,0.09316463768482208,1149,,
0.96875,5,0.07045093178749084,1199,,
0.9765625,5,0.08182705193758011,1249,,
,5,,1289,0.9666000008583069,0.1134994849562645
0.98046875,6,0.07634951174259186,1299,,
0.9765625,6,0.0690009668469429,1349,,
0.9609375,6,0.10928064584732056,1399,,
0.98046875,6,0.05276350677013397,1449,,
0.9765625,6,0.09992798417806625,1499,,
,6,,1504,0.9684000015258789,0.10788019746541977
0.99609375,7,0.04184316098690033,1549,,
0.984375,7,0.048105522990226746,1599,,
0.97265625,7,0.08369005471467972,1649,,
0.984375,7,0.05156755819916725,1699,,
,7,,1719,0.9685999751091003,0.10432548820972443
0.98046875,8,0.047277387231588364,1749,,
0.96484375,8,0.10730228573083878,1799,,
0.97265625,8,0.06607431918382645,1849,,
0.984375,8,0.06668592989444733,1899,,
,8,,1934,0.9697999954223633,0.10150674730539322
0.9921875,9,0.041784100234508514,1949,,
0.9921875,9,0.04447023198008537,1999,,
0.9765625,9,0.06323832273483276,2049,,
0.98046875,9,0.06340000778436661,2099,,
0.9722222089767456,9,0.06474082916975021,2149,,
,9,,2149,0.9703999757766724,0.10029707103967667
0.99609375,10,0.047613028436899185,2199,,
0.9921875,10,0.05885964259505272,2249,,
0.9765625,10,0.08418359607458115,2299,,
0.9921875,10,0.04327046871185303,2349,,
,10,,2364,0.9710000157356262,0.10043494403362274
0.98828125,11,0.03946201130747795,2399,,
0.96484375,11,0.07368170469999313,2449,,
0.99609375,11,0.02093728817999363,2499,,
0.9921875,11,0.03348145633935928,2549,,
,11,,2579,0.9710000157356262,0.10004060715436935
0.98828125,12,0.06399188190698624,2599,,
0.97265625,12,0.08953732252120972,2649,,
0.98046875,12,0.06323214620351791,2699,,
0.98828125,12,0.02944107912480831,2749,,
,12,,2794,0.9714000225067139,0.10107361525297165
0.98828125,13,0.0336257703602314,2799,,
0.984375,13,0.04146399721503258,2849,,
0.9921875,13,0.03407075256109238,2899,,
0.984375,13,0.033924754709005356,2949,,
0.9921875,13,0.03879121318459511,2999,,
,13,,3009,0.972000002861023,0.10084499418735504
0.9921875,14,0.026346242055296898,3049,,
0.9921875,14,0.03504141420125961,3099,,
0.9921875,14,0.0479884035885334,3149,,
0.98828125,14,0.03537435829639435,3199,,
,14,,3224,0.9718000292778015,0.10032203793525696
0.98046875,15,0.06605802476406097,3249,,
0.9921875,15,0.03422650322318077,3299,,
1.0,15,0.014527739025652409,3349,,
0.99609375,15,0.01672706939280033,3399,,
,15,,3439,0.9711999893188477,0.10097336769104004
0.99609375,16,0.01893787831068039,3449,,
0.99609375,16,0.017282966524362564,3499,,
0.99609375,16,0.03031744249165058,3549,,
0.9921875,16,0.019816230982542038,3599,,
0.99609375,16,0.030529655516147614,3649,,
,16,,3654,0.9715999960899353,0.10154101252555847
