loss,error,epoch,step,val_loss,val_error
0.05296603590250015,2.793967834868738e-10,0,49,,
0.02305622212588787,4.656612873077393e-10,0,99,,
0.017139725387096405,3.7252903539730653e-10,0,149,,
0.01916474476456642,6.984919587171845e-11,0,199,,
0.014770989306271076,5.587935669737476e-10,0,249,,
0.01271251030266285,8.614733926215479e-10,0,299,,
0.012797064147889614,2.561137135703717e-10,0,349,,
0.015500703826546669,1.8626451769865326e-10,0,399,,
0.018490880727767944,6.984919587171845e-11,0,449,,
,,0,468,0.011754152365028858,4.806952058622471e-10
0.00985612440854311,6.984919309616089e-10,1,499,,
0.013680699281394482,3.026798534033759e-10,1,549,,
0.011472548358142376,3.143213744838391e-10,1,599,,
0.012110834009945393,9.08039532454552e-10,1,649,,
0.011133099906146526,4.656612873077393e-10,1,699,,
0.010617108084261417,4.6566129424663316e-11,1,749,,
0.013957719318568707,2.793967834868738e-10,1,799,,
0.010139315389096737,4.656612873077393e-10,1,849,,
0.008539319038391113,6.461050583439487e-10,1,899,,
,,1,937,0.00908442959189415,4.0718650673454704e-10
0.009612984955310822,2.444721924899085e-10,2,949,,
0.004956072196364403,3.7252903539730653e-10,2,999,,
0.006151572801172733,8.381903504606214e-10,2,1049,,
0.004952017217874527,4.656612873077393e-10,2,1099,,
0.00741573004052043,4.6566129424663316e-11,2,1149,,
0.010882779024541378,4.6566129424663316e-11,2,1199,,
0.004904003348201513,5.064066388449362e-10,2,1249,,
0.0060782055370509624,1.396983917434369e-10,2,1299,,
0.011417830362915993,2.793967834868738e-10,2,1349,,
0.007357868831604719,1.1059455434780929e-10,2,1399,,
,,2,1406,0.007888183929026127,4.898809691233907e-10
