loss,acc,epoch,step
0.514127254486084,0.8702999949455261,0,468
0.22636547684669495,0.9352999925613403,1,937
0.1714736968278885,0.9509000182151794,2,1406
0.14164718985557556,0.9585166573524475,3,1875
0.11995958536863327,0.9648833274841309,4,2344
