acc,epoch,loss,step
0.8705666661262512,0,1.0027740001678467,468
0.9321666955947876,1,1.0,937
0.9471666812896729,2,1.0,1406
0.9565666913986206,3,1.0,1875
0.9634833335876465,4,1.0,2344
