loss,acc,epoch,step,val_loss,val_acc
0.23640047013759613,0.9140625,0,49,,
0.35374587774276733,0.8984375,0,99,,
0.3702986538410187,0.8984375,0,149,,
0.3380485773086548,0.90625,0,199,,
0.4337005615234375,0.84375,0,249,,
0.3693256676197052,0.9140625,0,299,,
0.43304601311683655,0.8515625,0,349,,
0.3402297794818878,0.9375,0,399,,
0.14536277949810028,0.9609375,0,449,,
,,0,468,0.2807295024394989,0.921500027179718
0.2806198298931122,0.8984375,1,499,,
0.17224252223968506,0.96875,1,549,,
0.2840038537979126,0.9453125,1,599,,
0.5133604407310486,0.8984375,1,649,,
0.2549499273300171,0.921875,1,699,,
0.15348386764526367,0.96875,1,749,,
0.24469351768493652,0.921875,1,799,,
0.2897174060344696,0.90625,1,849,,
0.28887128829956055,0.8984375,1,899,,
,,1,937,0.2746117115020752,0.92330002784729
0.1772102564573288,0.9609375,2,949,,
0.26028868556022644,0.9296875,2,999,,
0.4213901162147522,0.90625,2,1049,,
0.28912830352783203,0.8984375,2,1099,,
0.2571571171283722,0.9140625,2,1149,,
0.18078292906284332,0.9609375,2,1199,,
0.3055526614189148,0.90625,2,1249,,
0.271279901266098,0.9296875,2,1299,,
0.3314208388328552,0.921875,2,1349,,
0.3134814202785492,0.953125,2,1399,,
,,2,1406,0.27336177229881287,0.9236999750137329
