loss,acc,epoch,step,val_loss,val_acc
1.0043861865997314,0.8359375,0,49,,
0.7650024890899658,0.8359375,0,99,,
0.7883077263832092,0.8046875,0,149,,
0.5803177952766418,0.8671875,0,199,,
0.4938774108886719,0.8984375,0,249,,
0.41966530680656433,0.8671875,0,299,,
0.3922767639160156,0.9140625,0,349,,
0.35762596130371094,0.921875,0,399,,
0.32342973351478577,0.9375,0,449,,
,,0,468,0.37939587235450745,0.9045000076293945
0.3247543275356293,0.9296875,1,499,,
0.4984479546546936,0.8515625,1,549,,
0.5475919842720032,0.875,1,599,,
0.5325148701667786,0.859375,1,649,,
0.2718997299671173,0.9375,1,699,,
0.3515147268772125,0.8984375,1,749,,
0.3538874685764313,0.9375,1,799,,
0.30694928765296936,0.890625,1,849,,
0.4055675268173218,0.8984375,1,899,,
,,1,937,0.3189387619495392,0.9139999747276306
0.35545942187309265,0.921875,2,949,,
0.36330509185791016,0.875,2,999,,
0.3675905466079712,0.90625,2,1049,,
0.2898094952106476,0.921875,2,1099,,
0.40834522247314453,0.8984375,2,1149,,
0.2896910309791565,0.9140625,2,1199,,
0.31914469599723816,0.9140625,2,1249,,
0.23462246358394623,0.9296875,2,1299,,
0.3055770695209503,0.9140625,2,1349,,
0.29340916872024536,0.921875,2,1399,,
,,2,1406,0.29523909091949463,0.9190000295639038
